N,D,patch,species,env,time,dispersal,germination,survival
7,0,1,15,0.4403499865742456,2000,0.19306977288832497,0.30000000000000004,0.1
7,1,1,16,0.4403499865742456,2000,0.19306977288832497,0.30000000000000004,0.1
6,0,1,18,0.4403499865742456,2000,0.19306977288832497,0.30000000000000004,0.1
2,0,1,20,0.4403499865742456,2000,0.19306977288832497,0.30000000000000004,0.1
6,0,1,12,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
7,1,1,13,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
1,1,1,15,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
3,0,1,16,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
2,0,1,18,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
4,3,1,20,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
1,0,1,29,0.4403499865742456,2000,0.244205309454865,0.30000000000000004,0.1
4,0,1,13,0.4403499865742456,2000,0.30888435964774846,0.30000000000000004,0.1
5,0,1,15,0.4403499865742456,2000,0.30888435964774846,0.30000000000000004,0.1
2,0,1,16,0.4403499865742456,2000,0.30888435964774846,0.30000000000000004,0.1
9,0,1,18,0.4403499865742456,2000,0.30888435964774846,0.30000000000000004,0.1
9,0,1,20,0.4403499865742456,2000,0.30888435964774846,0.30000000000000004,0.1
1,0,1,13,0.4403499865742456,2000,0.3906939937054621,0.30000000000000004,0.1
4,0,1,15,0.4403499865742456,2000,0.3906939937054621,0.30000000000000004,0.1
3,0,1,16,0.4403499865742456,2000,0.3906939937054621,0.30000000000000004,0.1
2,0,1,18,0.4403499865742456,2000,0.3906939937054621,0.30000000000000004,0.1
5,1,1,19,0.4403499865742456,2000,0.3906939937054621,0.30000000000000004,0.1
5,1,1,20,0.4403499865742456,2000,0.3906939937054621,0.30000000000000004,0.1
2,1,1,13,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
6,1,1,15,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
2,0,1,16,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
2,0,1,18,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
3,0,1,19,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
8,1,1,20,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
2,0,1,24,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
2,0,1,29,0.4403499865742456,2000,0.49417133613238384,0.30000000000000004,0.1
2,1,1,12,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
2,1,1,13,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
3,0,1,16,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
4,0,1,18,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
6,0,1,20,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
1,0,1,27,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
2,0,1,29,0.4403499865742456,2000,0.6250551925273976,0.30000000000000004,0.1
2,0,1,12,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
6,1,1,13,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
1,0,1,15,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
8,1,1,16,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
4,0,1,18,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
1,0,1,19,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
9,2,1,20,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
1,0,1,25,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
1,0,1,27,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
1,0,1,29,0.4403499865742456,2000,0.7906043210907702,0.30000000000000004,0.1
4,1,1,12,0.4403499865742456,2000,1,0.30000000000000004,0.1
2,1,1,13,0.4403499865742456,2000,1,0.30000000000000004,0.1
3,1,1,15,0.4403499865742456,2000,1,0.30000000000000004,0.1
5,0,1,16,0.4403499865742456,2000,1,0.30000000000000004,0.1
3,0,1,18,0.4403499865742456,2000,1,0.30000000000000004,0.1
3,0,1,20,0.4403499865742456,2000,1,0.30000000000000004,0.1
2,0,1,27,0.4403499865742456,2000,1,0.30000000000000004,0.1
1,0,1,29,0.4403499865742456,2000,1,0.30000000000000004,0.1
16,1,1,19,0.4403499865742456,2000,1e-5,0.4,0.1
28,2,1,25,0.4403499865742456,2000,1.2648552168552958e-5,0.4,0.1
17,1,1,19,0.4403499865742456,2000,1.5998587196060572e-5,0.4,0.1
14,1,1,25,0.4403499865742456,2000,2.0235896477251556e-5,0.4,0.1
21,0,1,19,0.4403499865742456,2000,2.559547922699533e-5,0.4,0.1
18,2,1,21,0.4403499865742456,2000,3.237457542817647e-5,0.4,0.1
22,1,1,18,0.4403499865742456,2000,4.094915062380427e-5,0.4,0.1
