N,D,patch,species,env,time,dispersal,germination,survival
24,2,1,31,0.6200942561161418,2000,0.029470517025518096,0.7,0.1
8,2,1,10,0.6200942561161418,2000,0.037275937203149416,0.7,0.1
44,1,1,21,0.6200942561161418,2000,0.037275937203149416,0.7,0.1
16,1,1,31,0.6200942561161418,2000,0.037275937203149416,0.7,0.1
55,3,1,23,0.6200942561161418,2000,0.04714866363457394,0.7,0.1
32,1,1,21,0.6200942561161418,2000,0.05963623316594643,0.7,0.1
9,1,1,31,0.6200942561161418,2000,0.05963623316594643,0.7,0.1
31,1,1,21,0.6200942561161418,2000,0.09540954763499944,0.7,0.1
34,2,1,31,0.6200942561161418,2000,0.09540954763499944,0.7,0.1
40,1,1,27,0.6200942561161418,2000,0.1206792640639329,0.7,0.1
20,2,1,10,0.6200942561161418,2000,0.15264179671752334,0.7,0.1
34,2,1,21,0.6200942561161418,2000,0.15264179671752334,0.7,0.1
42,1,1,19,0.6200942561161418,2000,0.19306977288832497,0.7,0.1
6,1,1,10,0.6200942561161418,2000,0.244205309454865,0.7,0.1
48,2,1,21,0.6200942561161418,2000,0.3906939937054621,0.7,0.1
32,1,1,27,0.6200942561161418,2000,0.3906939937054621,0.7,0.1
16,1,1,10,0.6200942561161418,2000,0.49417133613238384,0.7,0.1
33,1,1,21,0.6200942561161418,2000,0.49417133613238384,0.7,0.1
18,1,1,31,0.6200942561161418,2000,0.6250551925273976,0.7,0.1
43,2,1,21,0.6200942561161418,2000,0.7906043210907702,0.7,0.1
34,3,1,21,0.6200942561161418,2000,1,0.7,0.1
19,7,1,34,0.6200942561161418,2000,1e-5,0.4,0.4
22,5,1,25,0.6200942561161418,2000,1.5998587196060572e-5,0.4,0.4
19,8,1,27,0.6200942561161418,2000,2.0235896477251556e-5,0.4,0.4
22,8,1,30,0.6200942561161418,2000,3.237457542817647e-5,0.4,0.4
22,3,1,30,0.6200942561161418,2000,4.094915062380427e-5,0.4,0.4
15,6,1,32,0.6200942561161418,2000,5.1794746792312125e-5,0.4,0.4
29,10,1,24,0.6200942561161418,2000,6.55128556859551e-5,0.4,0.4
22,13,1,27,0.6200942561161418,2000,8.286427728546843e-5,0.4,0.4
23,12,1,23,0.6200942561161418,2000,1.0481131341546853e-4,0.4,0.4
24,19,1,22,0.6200942561161418,2000,1.3257113655901095e-4,0.4,0.4
26,6,1,18,0.6200942561161418,2000,1.6768329368110083e-4,0.4,0.4
27,14,1,22,0.6200942561161418,2000,2.1209508879201905e-4,0.4,0.4
15,7,1,22,0.6200942561161418,2000,2.682695795279727e-4,0.4,0.4
33,4,1,22,0.6200942561161418,2000,3.39322177189533e-4,0.4,0.4
31,6,1,21,0.6200942561161418,2000,4.2919342601287783e-4,0.4,0.4
21,5,1,23,0.6200942561161418,2000,5.428675439323859e-4,0.4,0.4
26,5,1,22,0.6200942561161418,2000,6.866488450042998e-4,0.4,0.4
24,11,1,27,0.6200942561161418,2000,8.68511373751353e-4,0.4,0.4
12,1,1,19,0.6200942561161418,2000,0.0010985411419875584,0.4,0.4
