rep,envscenario,comp,mean_alpha
12,17,stable,0
12,18,equal,0
12,18,stable,0
12,19,equal,0
12,19,stable,0
12,20,equal,0
12,20,stable,0
13,1,equal,1.87
13,1,stable,5.78
13,2,equal,1.95
13,2,stable,9.22
13,3,equal,2.88
13,3,stable,8.3
13,4,equal,2.88
13,4,stable,4
13,5,equal,1
13,5,stable,5
13,6,equal,1
13,6,stable,4.29
13,7,equal,1
13,7,stable,4.89
13,8,equal,1
13,8,stable,7.21
13,9,equal,2.8
13,9,stable,8.33
13,10,equal,1
13,10,stable,6.97
13,11,equal,1
13,11,stable,4.88
13,12,equal,2.97
13,12,stable,8.42
13,13,equal,3.59
13,13,stable,10.06
13,14,equal,3.46
13,14,stable,5.43
13,15,equal,1.97
13,15,stable,7.34
13,16,equal,2.88
13,16,stable,5.74
13,17,equal,1.94
13,17,stable,5.96
13,18,equal,2.28
13,18,stable,4.99
13,19,equal,1
13,19,stable,5.49
13,20,equal,1
13,20,stable,2
14,1,equal,1.26
14,1,stable,3.93
14,2,equal,1.22
14,2,stable,2.99
14,3,equal,1.23
14,3,stable,3.18
14,4,equal,1.26
14,4,stable,3.38
14,5,equal,1.25
14,5,stable,3.76
14,6,equal,1.24
14,6,stable,3.6
14,7,equal,1.24
14,7,stable,3.48
14,8,equal,1.16
14,8,stable,3.78
14,9,equal,1.28
14,9,stable,3.91
14,10,equal,1.21
14,10,stable,3.33
14,11,equal,1.35
14,11,stable,4.09
14,12,equal,1.33
14,12,stable,3.83
14,13,equal,1.3
14,13,stable,3.66
14,14,equal,1.17
14,14,stable,3.55
14,15,equal,1.34
14,15,stable,2.98
14,16,equal,1.24
14,16,stable,3.4
14,17,equal,1.27
14,17,stable,3.8
14,18,equal,1.17
14,18,stable,3.89
14,19,equal,1.28
14,19,stable,3.05
14,20,equal,1.22
14,20,stable,3.03
15,1,equal,0.63
15,1,stable,1.07
15,2,equal,0.59
15,2,stable,0.7
15,3,equal,0.71
15,3,stable,0.77
15,4,equal,0.68
15,4,stable,0.59
15,5,equal,0.68
15,5,stable,0.72
15,6,equal,0.68
15,6,stable,0.79
15,7,equal,0.59
15,7,stable,0.57
15,8,equal,0.73
15,8,stable,0.79
15,9,equal,0.62
15,9,stable,1.05
15,10,equal,0.77
15,10,stable,0.73
15,11,equal,0.65
15,11,stable,0.69
15,12,equal,0.62
15,12,stable,0.75
15,13,equal,0.53
15,13,stable,0.96
15,14,equal,0.68
15,14,stable,0.74
15,15,equal,0.67
15,15,stable,0.94
15,16,equal,0.79
15,16,stable,0.71
15,17,equal,0.74
15,17,stable,0.68
15,18,equal,0.59
15,18,stable,0.88
15,19,equal,0.39
15,19,stable,0.59
15,20,equal,0.8
15,20,stable,0.69
16,1,equal,1.43
16,1,stable,2.97
16,2,equal,1.49
16,2,stable,2.09
16,3,equal,1.43
16,3,stable,2.14
16,4,equal,1.34
16,4,stable,3.12
16,5,equal,1.26
16,5,stable,2.59
16,6,equal,1.32
16,6,stable,2.19
16,7,equal,1.52
16,7,stable,2.48
16,8,equal,1.21
16,8,stable,1.97
16,9,equal,1.42
16,9,stable,1.97
16,10,equal,1.41
16,10,stable,2.09
16,11,equal,1.37
16,11,stable,2
16,12,equal,1.55
16,12,stable,2.71
16,13,equal,1.31
16,13,stable,2.4
16,14,equal,1.41
16,14,stable,3.22
16,15,equal,1.43
16,15,stable,1.05
16,16,equal,1.44
16,16,stable,2.38
16,17,equal,1.5
16,17,stable,2.88
16,18,equal,1.52
16,18,stable,2.09
16,19,equal,1.23
16,19,stable,2.29
16,20,equal,1.12
16,20,stable,0.99
17,1,equal,1
17,1,stable,6.96
17,2,equal,1
17,2,stable,4.98
17,3,equal,2
17,3,stable,6.53
17,4,equal,1
17,4,stable,4
17,5,equal,1
17,5,stable,4
17,6,equal,1
17,6,stable,6.35
17,7,equal,1
17,7,stable,3.99
17,8,equal,1
17,8,stable,6.61
17,9,equal,2
17,9,stable,5.99
17,10,equal,1
17,10,stable,5
17,11,equal,1
17,11,stable,4.99
17,12,equal,1
17,12,stable,6
17,13,equal,3
17,13,stable,6.98
17,14,equal,1
17,14,stable,6
17,15,equal,1
17,15,stable,4
17,16,equal,2
